user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
850096,332,10,2023-04-29,2023-05-14,15,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,233.0,271.0,1.0,206,70,0.33980582524271846,136
850098,490,24,2023-04-28,2023-05-29,31,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,582,153,0.26288659793814434,429
850100,344,17,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3947.0,271.0,2.0,211,120,0.5687203791469194,91
850102,93,9,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,M,3950.0,271.0,2.0,108,48,0.4444444444444444,60
850112,373,12,2023-04-28,2023-05-11,13,2023-04-28,0.56,50 이상,50 이상,,F,603.0,271.0,2.0,331,192,0.5800604229607251,139
850127,52,9,2023-04-28,2023-05-17,19,2023-04-28,0.56,50 이상,50 이상,,F,3966.0,271.0,2.0,300,76,0.25333333333333335,224
850130,161,14,2023-04-28,2023-07-10,73,2023-04-28,0.56,50 이상,50 이상,,F,4127.0,271.0,1.0,262,61,0.23282442748091603,201
850150,361,8,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,223,96,0.4304932735426009,127
850152,205,6,2023-04-28,2023-05-15,17,2023-04-28,0.56,50 이상,50 이상,,F,603.0,271.0,2.0,177,35,0.1977401129943503,142
850173,83,8,2023-04-28,2023-07-22,85,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,69,19,0.2753623188405797,50
850176,75,4,2023-04-29,2023-05-02,3,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3950.0,271.0,2.0,28,10,0.35714285714285715,18
850180,695,11,2023-04-28,2023-05-08,10,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,657,128,0.1948249619482496,529
850186,209,6,2023-04-28,2023-05-05,7,2023-04-28,0.56,50 이상,50 이상,,F,757.0,271.0,2.0,286,47,0.16433566433566432,239
850190,172,14,2023-04-30,2023-05-27,27,2023-04-30,0.5263157894736842,50 이상,50 이상,,F,4144.0,271.0,1.0,84,3,0.03571428571428571,81
850195,240,15,2023-04-28,2023-05-14,16,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,301,85,0.2823920265780731,216
850208,256,5,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,F,603.0,271.0,2.0,296,22,0.07432432432432433,274
850212,79,10,2023-04-28,2023-05-29,31,2023-04-28,0.56,50 이상,50 이상,,F,3950.0,271.0,2.0,12,10,0.8333333333333334,2
850215,148,9,2023-04-28,2023-05-23,25,2023-04-28,0.56,50 이상,50 이상,,F,3950.0,271.0,2.0,139,10,0.07194244604316546,129
850217,496,15,2023-04-28,2023-06-04,37,2023-04-28,0.56,50 이상,50 이상,,F,3966.0,271.0,2.0,384,58,0.15104166666666666,326
850229,428,14,2023-04-28,2023-05-29,31,2023-04-28,0.56,50 이상,50 이상,,F,757.0,271.0,2.0,492,84,0.17073170731707318,408
850248,64,8,2023-04-28,2023-05-09,11,2023-04-28,0.56,50 이상,50 이상,,F,603.0,271.0,2.0,99,42,0.42424242424242425,57
850249,179,9,2023-04-28,2023-05-28,30,2023-04-28,0.56,50 이상,50 이상,,F,3959.0,271.0,2.0,193,44,0.22797927461139897,149
850255,292,11,2023-04-28,2023-05-14,16,2023-04-28,0.56,50 이상,50 이상,,M,3944.0,271.0,2.0,282,133,0.4716312056737589,149
850267,103,8,2023-04-28,2023-06-07,40,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,78,36,0.46153846153846156,42
850269,113,7,2023-04-28,2023-05-10,12,2023-04-28,0.56,50 이상,50 이상,,F,3959.0,271.0,2.0,288,76,0.2638888888888889,212
