user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade
888869,29,3,2023-05-05,2023-05-10,5,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,7007.0,4516.0,1.0
888874,110,6,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9568.0,4516.0,1.0
888900,767,15,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,7007.0,4516.0,1.0
888945,158,6,2023-05-05,2023-05-11,6,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10276.0,4516.0,2.0
888951,317,8,2023-05-05,2023-05-23,18,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9403.0,4516.0,1.0
888963,115,7,2023-05-05,2023-05-13,8,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,10276.0,4516.0,2.0
888965,228,6,2023-05-05,2023-05-10,5,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9403.0,4516.0,1.0
889010,185,9,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12003.0,352.0,2.0
889098,75,9,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9403.0,4516.0,1.0
889109,5,1,2023-05-05,2023-05-05,0,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9395.0,4516.0,2.0
889219,781,17,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10955.0,352.0,2.0
889282,158,7,2023-05-05,2023-05-18,13,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10018.0,4516.0,2.0
889320,15,2,2023-05-05,2023-05-06,1,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12076.0,352.0,1.0
889367,203,8,2023-05-05,2023-05-20,15,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9505.0,4516.0,2.0
889372,44,3,2023-05-05,2023-05-07,2,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2417.0,352.0,2.0
889412,31,4,2023-05-05,2023-05-15,10,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9403.0,4516.0,1.0
889425,175,6,2023-05-05,2023-05-11,6,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9505.0,4516.0,2.0
889475,67,2,2023-05-05,2023-05-06,1,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10276.0,4516.0,2.0
889477,3,1,2023-05-05,2023-05-05,0,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10312.0,4516.0,2.0
889583,94,8,2023-05-05,2023-05-14,9,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9395.0,4516.0,2.0
889600,343,11,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,11123.0,369.0,3.0
889620,33,7,2023-05-05,2023-05-16,11,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,10033.0,4516.0,2.0
889641,80,3,2023-05-05,2023-05-07,2,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2419.0,352.0,2.0
889712,89,9,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9820.0,369.0,1.0
889742,330,11,2023-05-05,2023-05-24,19,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,2697.0,352.0,1.0
889799,13,2,2023-05-05,2023-05-16,11,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,11837.0,352.0,1.0
889864,221,10,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12810.0,352.0,3.0
889885,72,10,2023-05-06,2023-05-21,15,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,12003.0,352.0,2.0
889918,146,7,2023-05-05,2023-05-17,12,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12003.0,352.0,2.0
889920,177,13,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12147.0,352.0,1.0
889999,53,10,2023-05-05,2023-05-19,14,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,5998.0,271.0,1.0
890000,24,4,2023-05-05,2023-05-10,5,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,8545.0,4516.0,1.0
