user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
850186,193,5,2023-04-29,2023-05-05,6,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0,288,49,0.1701388888888889,239
850190,164,13,2023-04-30,2023-05-22,22,2023-04-30,0.5263157894736842,50 이상,50 이상,,F,4144.0,271.0,1.0,84,3,0.03571428571428571,81
850195,230,14,2023-04-29,2023-05-14,15,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,301,85,0.2823920265780731,216
850208,233,4,2023-04-29,2023-05-02,3,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,296,22,0.07432432432432433,274
850212,61,7,2023-05-01,2023-05-19,18,2023-05-01,0.4444444444444444,50 미만,,50 미만,F,3950.0,271.0,2.0,12,10,0.8333333333333334,2
850215,139,8,2023-04-29,2023-05-23,24,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3950.0,271.0,2.0,140,10,0.07142857142857142,130
850217,460,12,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3966.0,271.0,2.0,385,58,0.15064935064935064,327
850229,407,12,2023-04-29,2023-05-20,21,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0,493,85,0.1724137931034483,408
850248,56,7,2023-04-29,2023-05-09,10,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,603.0,271.0,2.0,99,42,0.42424242424242425,57
850249,161,6,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3959.0,271.0,2.0,194,45,0.23195876288659795,149
850255,245,10,2023-04-29,2023-05-14,15,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3944.0,271.0,2.0,283,134,0.4734982332155477,149
850267,69,6,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,78,36,0.46153846153846156,42
850269,81,6,2023-04-29,2023-05-10,11,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3959.0,271.0,2.0,288,76,0.2638888888888889,212
850284,431,8,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3944.0,271.0,2.0,350,111,0.3171428571428571,239
850302,86,3,2023-04-29,2023-05-02,3,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3946.0,271.0,2.0,238,116,0.48739495798319327,122
850303,38,4,2023-04-29,2023-05-05,6,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,84,17,0.20238095238095238,67
850319,294,14,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,250,21,0.084,229
